invoice_id,branch,city,id_customer_type,customer_type,id_gender,gender,id_product,product_line,unit_price,quantity,tax_5%,total,date,time,id_payment,payment,cogs,gross_margin percentage,gross_income,rating
299-46-1805,2,Mandalay,1,Member,1,Female,4,Sports and travel,93.72,6,28116,590436,1/15/2019,16:19,1,Cash,562.32,4761904762,28116,4.5
656-95-9349,1,Yangon,1,Member,1,Female,1,Health and beauty,68.93,7,241255,5066355,3/11/2019,11:03,2,Credit card,482.51,4761904762,241255,4.6
765-26-6951,1,Yangon,2,Normal,2,Male,4,Sports and travel,72.61,6,21783,457443,1/1/2019,10:39,2,Credit card,435.66,4761904762,21783,6.9
329-62-1586,1,Yangon,2,Normal,2,Male,5,Food and beverages,54.67,3,8.2005,1722105,1/21/2019,18:00,2,Credit card,164.01,4761904762,8.2005,8.6
319-50-3348,2,Mandalay,2,Normal,1,Female,3,Home and lifestyle,40.3,2,04.03,84.63,3/11/2019,15:30,3,Ewallet,80.6,4761904762,04.03,4.4
300-71-4605,3,Naypyitaw,1,Member,2,Male,2,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,11:24,3,Ewallet,430.2,4761904762,21.51,4.8
371-85-5789,2,Mandalay,2,Normal,2,Male,1,Health and beauty,87.98,3,13197,277137,3/5/2019,10:40,3,Ewallet,263.94,4761904762,13197,5.1
273-16-6619,2,Mandalay,2,Normal,2,Male,3,Home and lifestyle,33.2,2,3.32,69.72,3/15/2019,12:20,2,Credit card,66.4,4761904762,3.32,4.4
636-48-8204,1,Yangon,2,Normal,2,Male,2,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15,3,Ewallet,172.8,4761904762,8.64,9.9
549-59-1358,1,Yangon,1,Member,2,Male,4,Sports and travel,88.63,3,132945,2791845,3/2/2019,17:36,3,Ewallet,265.89,4761904762,132945,6
227-03-5010,1,Yangon,1,Member,1,Female,3,Home and lifestyle,52.59,8,21036,441756,3/22/2019,19:20,2,Credit card,420.72,4761904762,21036,8.5
649-29-6775,2,Mandalay,2,Normal,2,Male,6,Fashion accessories,33.52,1,1676,35196,2/8/2019,15:31,1,Cash,33.52,4761904762,1676,6.7
189-17-4241,1,Yangon,2,Normal,1,Female,6,Fashion accessories,87.67,2,8767,184107,3/10/2019,12:17,2,Credit card,175.34,4761904762,8767,7.7
145-94-9061,2,Mandalay,2,Normal,1,Female,5,Food and beverages,88.36,5,22.09,463.89,1/25/2019,19:48,1,Cash,441.8,4761904762,22.09,9.6
848-62-7243,1,Yangon,2,Normal,2,Male,1,Health and beauty,24.89,9,11.2005,2352105,3/15/2019,15:36,1,Cash,224.01,4761904762,11.2005,7.4
871-79-8483,2,Mandalay,2,Normal,2,Male,6,Fashion accessories,94.13,5,235325,4941825,2/25/2019,19:39,2,Credit card,470.65,4761904762,235325,4.8
149-71-6266,2,Mandalay,1,Member,2,Male,4,Sports and travel,78.07,9,351315,7377615,1/28/2019,12:43,1,Cash,702.63,4761904762,351315,4.5
640-49-2076,2,Mandalay,2,Normal,2,Male,4,Sports and travel,83.78,8,33512,703752,1/10/2019,14:49,1,Cash,670.24,4761904762,33512,5.1
595-11-5460,1,Yangon,2,Normal,2,Male,1,Health and beauty,96.58,2,9658,202818,3/15/2019,10:12,2,Credit card,193.16,4761904762,9658,5.1
183-56-6882,3,Naypyitaw,1,Member,1,Female,5,Food and beverages,99.42,4,19884,417564,2/6/2019,10:42,3,Ewallet,397.68,4761904762,19884,7.5
232-16-2483,3,Naypyitaw,1,Member,1,Female,4,Sports and travel,68.12,1,3406,71526,1/7/2019,12:28,3,Ewallet,68.12,4761904762,3406,6.8
129-29-8530,1,Yangon,1,Member,2,Male,4,Sports and travel,62.62,5,15655,328755,3/10/2019,19:15,3,Ewallet,313.1,4761904762,15655,7
272-65-1806,1,Yangon,2,Normal,1,Female,2,Electronic accessories,60.88,9,27396,575316,1/15/2019,17:17,3,Ewallet,547.92,4761904762,27396,4.7
333-73-7901,3,Naypyitaw,2,Normal,1,Female,1,Health and beauty,54.92,8,21968,461328,3/23/2019,13:24,3,Ewallet,439.36,4761904762,21968,7.6
777-82-7220,2,Mandalay,1,Member,2,Male,3,Home and lifestyle,30.12,8,12048,253008,3/3/2019,13:01,1,Cash,240.96,4761904762,12048,7.7
280-35-5823,2,Mandalay,1,Member,1,Female,3,Home and lifestyle,86.72,1,4336,91056,1/17/2019,18:45,3,Ewallet,86.72,4761904762,4336,7.9
554-53-8700,3,Naypyitaw,1,Member,2,Male,3,Home and lifestyle,56.11,2,5611,117831,2/2/2019,10:11,1,Cash,112.22,4761904762,5611,6.3
354-25-5821,2,Mandalay,1,Member,1,Female,4,Sports and travel,69.12,6,20736,435456,2/8/2019,13:03,1,Cash,414.72,4761904762,20736,5.6
228-96-1411,3,Naypyitaw,1,Member,1,Female,5,Food and beverages,98.7,8,39.48,829.08,3/4/2019,20:39,1,Cash,789.6,4761904762,39.48,7.6
617-15-4209,3,Naypyitaw,1,Member,2,Male,1,Health and beauty,15.37,2,1537,32277,3/16/2019,19:47,1,Cash,30.74,4761904762,1537,7.2
132-32-9879,2,Mandalay,1,Member,1,Female,2,Electronic accessories,93.96,4,18792,394632,3/9/2019,18:00,1,Cash,375.84,4761904762,18792,9.5
370-41-7321,2,Mandalay,1,Member,2,Male,1,Health and beauty,56.69,9,255105,5357205,2/27/2019,17:24,2,Credit card,510.21,4761904762,255105,8.4
727-46-3608,2,Mandalay,1,Member,1,Female,5,Food and beverages,20.01,9,9.1945,1890945,2/6/2019,15:47,3,Ewallet,180.09,4761904762,9.1945,4.1
669-54-1719,2,Mandalay,1,Member,2,Male,2,Electronic accessories,18.93,6,5679,119259,2/10/2019,12:45,2,Credit card,113.58,4761904762,5679,8.1
574-22-5561,3,Naypyitaw,1,Member,1,Female,6,Fashion accessories,82.63,10,41315,867615,3/19/2019,17:08,3,Ewallet,826.3,4761904762,41315,7.9
326-78-5178,3,Naypyitaw,1,Member,2,Male,5,Food and beverages,91.4,7,31.99,671.79,2/3/2019,10:19,1,Cash,639.8,4761904762,31.99,9.5
162-48-8011,1,Yangon,1,Member,1,Female,5,Food and beverages,44.59,5,11.1475,2340975,2/10/2019,15:10,1,Cash,222.95,4761904762,11.1475,8.5
616-24-2851,2,Mandalay,1,Member,1,Female,6,Fashion accessories,17.87,4,3574,75054,3/22/2019,14:42,3,Ewallet,71.48,4761904762,3574,6.5
778-71-5554,3,Naypyitaw,1,Member,2,Male,6,Fashion accessories,15.43,1,7715,162015,1/25/2019,15:46,2,Credit card,15.43,4761904762,7715,6.1
242-55-6721,2,Mandalay,2,Normal,2,Male,3,Home and lifestyle,16.16,2,1616,33936,3/7/2019,11:49,3,Ewallet,32.32,4761904762,1616,6.5
399-46-5918,3,Naypyitaw,2,Normal,1,Female,2,Electronic accessories,85.98,8,34392,722232,2/28/2019,19:01,1,Cash,687.84,4761904762,34392,8.2
106-35-6779,1,Yangon,1,Member,2,Male,3,Home and lifestyle,44.34,2,4434,93114,3/27/2019,11:26,1,Cash,88.68,4761904762,4434,5.8
635-40-6220,1,Yangon,2,Normal,2,Male,1,Health and beauty,89.6,8,35.84,752.64,2/7/2019,11:28,3,Ewallet,716.8,4761904762,35.84,6.6
817-48-8732,1,Yangon,1,Member,1,Female,3,Home and lifestyle,72.35,10,36175,759675,1/20/2019,15:55,1,Cash,723.5,4761904762,36175,5.4
120-06-4233,3,Naypyitaw,2,Normal,2,Male,2,Electronic accessories,30.61,6,9183,192843,3/12/2019,20:36,1,Cash,183.66,4761904762,9183,9.3
285-68-5083,3,Naypyitaw,1,Member,1,Female,4,Sports and travel,24.74,3,3711,77931,2/15/2019,17:47,2,Credit card,74.22,4761904762,3711,10
803-83-5989,3,Naypyitaw,2,Normal,2,Male,3,Home and lifestyle,55.73,6,16719,351099,2/24/2019,10:55,3,Ewallet,334.38,4761904762,16719,7
347-34-2234,2,Mandalay,1,Member,1,Female,4,Sports and travel,55.07,9,247815,5204115,2/3/2019,13:40,3,Ewallet,495.63,4761904762,247815,10
199-75-8169,1,Yangon,1,Member,2,Male,4,Sports and travel,15.81,10,7905,166005,3/6/2019,12:27,2,Credit card,158.1,4761904762,7905,8.6
853-23-2453,2,Mandalay,1,Member,2,Male,1,Health and beauty,75.74,4,15148,318108,2/14/2019,14:35,1,Cash,302.96,4761904762,15148,7.6
877-22-3308,1,Yangon,1,Member,2,Male,1,Health and beauty,15.87,10,7935,166635,3/13/2019,16:40,1,Cash,158.7,4761904762,7935,5.8
838-78-4295,3,Naypyitaw,2,Normal,1,Female,1,Health and beauty,33.47,2,3347,70287,2/10/2019,15:43,3,Ewallet,66.94,4761904762,3347,6.7
109-28-2512,2,Mandalay,1,Member,1,Female,6,Fashion accessories,97.61,6,29283,614943,1/7/2019,15:01,3,Ewallet,585.66,4761904762,29283,9.9
232-11-3025,1,Yangon,2,Normal,2,Male,4,Sports and travel,78.77,10,39385,827085,1/24/2019,10:04,1,Cash,787.7,4761904762,39385,6.4
382-03-4532,1,Yangon,1,Member,1,Female,1,Health and beauty,18.33,1,9165,192465,2/2/2019,18:50,1,Cash,18.33,4761904762,9165,4.3
393-65-2792,3,Naypyitaw,2,Normal,2,Male,5,Food and beverages,89.48,10,44.74,939.54,1/6/2019,12:46,2,Credit card,894.8,4761904762,44.74,9.6
796-12-2025,3,Naypyitaw,2,Normal,2,Male,6,Fashion accessories,62.12,10,31.06,652.26,2/11/2019,16:19,1,Cash,621.2,4761904762,31.06,5.9
510-95-6347,2,Mandalay,1,Member,1,Female,5,Food and beverages,48.52,3,7278,152838,3/5/2019,18:17,3,Ewallet,145.56,4761904762,7278,4
841-35-6630,3,Naypyitaw,2,Normal,1,Female,2,Electronic accessories,75.91,6,22773,478233,3/9/2019,18:21,1,Cash,455.46,4761904762,22773,8.7
287-21-9091,1,Yangon,2,Normal,2,Male,3,Home and lifestyle,74.67,9,336015,7056315,1/22/2019,10:55,3,Ewallet,672.03,4761904762,336015,9.4
732-94-0499,3,Naypyitaw,2,Normal,1,Female,2,Electronic accessories,41.65,10,20825,437325,1/13/2019,17:04,2,Credit card,416.5,4761904762,20825,5.4
263-10-3913,3,Naypyitaw,1,Member,2,Male,6,Fashion accessories,49.04,9,22068,463428,1/9/2019,14:20,2,Credit card,441.36,4761904762,22068,8.6
381-20-0914,1,Yangon,1,Member,1,Female,6,Fashion accessories,20.01,9,9.1945,1890945,1/12/2019,15:48,2,Credit card,180.09,4761904762,9.1945,5.7
829-49-1914,3,Naypyitaw,1,Member,1,Female,5,Food and beverages,78.31,10,39155,822255,3/5/2019,16:24,3,Ewallet,783.1,4761904762,39155,6.6
756-01-7507,3,Naypyitaw,2,Normal,1,Female,1,Health and beauty,20.38,5,5095,106995,1/22/2019,18:56,1,Cash,101.9,4761904762,5095,6
870-72-4431,3,Naypyitaw,2,Normal,1,Female,1,Health and beauty,99.19,6,29757,624897,1/21/2019,14:42,2,Credit card,595.14,4761904762,29757,5.5
847-38-7188,2,Mandalay,2,Normal,1,Female,5,Food and beverages,96.68,3,14502,304542,1/26/2019,19:56,3,Ewallet,290.04,4761904762,14502,6.4
480-63-2856,3,Naypyitaw,2,Normal,2,Male,5,Food and beverages,19.25,8,7.7,161.7,1/23/2019,18:37,3,Ewallet,154,4761904762,7.7,6.6
787-56-0757,3,Naypyitaw,1,Member,1,Female,5,Food and beverages,80.36,4,16072,337512,2/23/2019,18:45,2,Credit card,321.44,4761904762,16072,8.3
360-39-5055,3,Naypyitaw,1,Member,2,Male,4,Sports and travel,48.91,5,12.2275,2567775,3/9/2019,10:17,1,Cash,244.55,4761904762,12.2275,6.6
730-50-9884,3,Naypyitaw,2,Normal,1,Female,4,Sports and travel,83.06,7,29071,610491,3/5/2019,14:31,3,Ewallet,581.42,4761904762,29071,4
362-58-8315,3,Naypyitaw,2,Normal,2,Male,6,Fashion accessories,76.52,5,19.13,401.73,3/25/2019,10:23,1,Cash,382.6,4761904762,19.13,9.9
633-44-8566,1,Yangon,1,Member,2,Male,5,Food and beverages,49.38,7,17283,362943,3/27/2019,20:35,2,Credit card,345.66,4761904762,17283,7.3
504-35-8843,1,Yangon,2,Normal,2,Male,4,Sports and travel,42.47,1,2.1235,445935,1/2/2019,16:57,1,Cash,42.47,4761904762,2.1235,5.7
318-68-5053,2,Mandalay,2,Normal,1,Female,1,Health and beauty,76.99,6,23097,485037,2/27/2019,17:55,1,Cash,461.94,4761904762,23097,6.1
565-80-5980,3,Naypyitaw,1,Member,1,Female,3,Home and lifestyle,47.38,4,9476,198996,1/23/2019,10:25,1,Cash,189.52,4761904762,9476,7.1
225-32-0908,3,Naypyitaw,2,Normal,1,Female,4,Sports and travel,44.86,10,22.43,471.03,1/26/2019,19:54,3,Ewallet,448.6,4761904762,22.43,8.2
873-51-0671,1,Yangon,1,Member,1,Female,4,Sports and travel,21.98,7,7693,161553,1/10/2019,16:42,3,Ewallet,153.86,4761904762,7693,5.1
152-08-9985,2,Mandalay,1,Member,2,Male,1,Health and beauty,64.36,9,28962,608202,3/12/2019,12:09,2,Credit card,579.24,4761904762,28962,8.6
512-91-0811,3,Naypyitaw,2,Normal,2,Male,1,Health and beauty,89.75,1,4.4875,942375,2/6/2019,20:05,2,Credit card,89.75,4761904762,4.4875,6.6
594-34-4444,1,Yangon,2,Normal,2,Male,2,Electronic accessories,97.16,1,4858,102018,3/8/2019,20:38,3,Ewallet,97.16,4761904762,4858,7.2
766-85-7061,2,Mandalay,2,Normal,2,Male,1,Health and beauty,87.87,10,43935,922635,3/29/2019,10:25,3,Ewallet,878.7,4761904762,43935,5.1
871-39-9221,3,Naypyitaw,2,Normal,1,Female,2,Electronic accessories,12.45,6,3735,78435,2/9/2019,13:11,1,Cash,74.7,4761904762,3735,4.1
865-92-6136,1,Yangon,2,Normal,2,Male,5,Food and beverages,52.75,3,7.9125,1661625,3/23/2019,10:16,3,Ewallet,158.25,4761904762,7.9125,9.3
733-01-9107,2,Mandalay,2,Normal,2,Male,3,Home and lifestyle,82.7,6,24.81,521.01,3/5/2019,18:14,1,Cash,496.2,4761904762,24.81,7.4
163-56-7055,3,Naypyitaw,1,Member,2,Male,6,Fashion accessories,48.71,1,2.4355,511455,3/26/2019,19:20,1,Cash,48.71,4761904762,2.4355,4.1
189-98-2939,3,Naypyitaw,2,Normal,2,Male,6,Fashion accessories,78.55,9,353475,7422975,3/1/2019,13:22,1,Cash,706.95,4761904762,353475,7.2
551-21-3069,3,Naypyitaw,2,Normal,1,Female,2,Electronic accessories,23.07,9,10.3815,2180115,2/1/2019,11:27,1,Cash,207.63,4761904762,10.3815,4.9
212-62-1842,1,Yangon,2,Normal,2,Male,5,Food and beverages,58.26,6,17478,367038,3/28/2019,16:44,1,Cash,349.56,4761904762,17478,9.9
716-39-1409,2,Mandalay,2,Normal,2,Male,1,Health and beauty,30.35,7,10.6225,2230725,3/19/2019,18:19,1,Cash,212.45,4761904762,10.6225,8
704-48-3927,1,Yangon,1,Member,2,Male,2,Electronic accessories,88.67,10,44335,931035,1/12/2019,14:50,3,Ewallet,886.7,4761904762,44335,7.3
628-34-3388,3,Naypyitaw,2,Normal,2,Male,6,Fashion accessories,27.38,6,8214,172494,1/5/2019,20:54,2,Credit card,164.28,4761904762,8214,7.9
630-74-5166,1,Yangon,2,Normal,2,Male,4,Sports and travel,62.13,6,18639,391419,3/22/2019,20:19,1,Cash,372.78,4761904762,18639,7.4
588-01-7461,3,Naypyitaw,2,Normal,1,Female,5,Food and beverages,33.98,9,15291,321111,3/24/2019,10:43,1,Cash,305.82,4761904762,15291,4.2
861-77-0145,3,Naypyitaw,1,Member,2,Male,2,Electronic accessories,81.97,10,40985,860685,3/3/2019,14:30,1,Cash,819.7,4761904762,40985,9.2
479-26-8945,2,Mandalay,1,Member,1,Female,4,Sports and travel,16.49,2,1649,34629,2/5/2019,11:32,3,Ewallet,32.98,4761904762,1649,4.6
210-67-5886,3,Naypyitaw,1,Member,1,Female,1,Health and beauty,98.21,3,147315,3093615,2/5/2019,10:41,2,Credit card,294.63,4761904762,147315,7.8
227-78-1148,2,Mandalay,2,Normal,1,Female,6,Fashion accessories,72.84,7,25494,535374,2/15/2019,12:44,1,Cash,509.88,4761904762,25494,8.4
645-44-1170,1,Yangon,1,Member,2,Male,3,Home and lifestyle,58.07,9,261315,5487615,1/19/2019,20:07,3,Ewallet,522.63,4761904762,261315,4.3
237-01-6122,3,Naypyitaw,1,Member,1,Female,3,Home and lifestyle,80.79,9,363555,7634655,2/1/2019,20:31,2,Credit card,727.11,4761904762,363555,9.5
225-98-1496,3,Naypyitaw,2,Normal,1,Female,6,Fashion accessories,27.02,3,4053,85113,3/2/2019,13:01,2,Credit card,81.06,4761904762,4053,7.1
291-32-1427,2,Mandalay,1,Member,2,Male,6,Fashion accessories,21.94,5,5485,115185,3/5/2019,12:29,3,Ewallet,109.7,4761904762,5485,5.3
659-65-8956,2,Mandalay,1,Member,2,Male,6,Fashion accessories,51.36,1,2568,53928,1/16/2019,15:26,3,Ewallet,51.36,4761904762,2568,5.2
642-32-2990,1,Yangon,2,Normal,1,Female,5,Food and beverages,10.96,10,5.48,115.08,2/2/2019,20:48,3,Ewallet,109.6,4761904762,5.48,6
378-24-2715,2,Mandalay,2,Normal,2,Male,3,Home and lifestyle,53.44,2,5344,112224,1/20/2019,20:38,3,Ewallet,106.88,4761904762,5344,4.1
638-60-7125,1,Yangon,2,Normal,1,Female,2,Electronic accessories,99.56,8,39824,836304,2/14/2019,17:03,2,Credit card,796.48,4761904762,39824,5.2
659-36-1684,3,Naypyitaw,1,Member,2,Male,4,Sports and travel,57.12,7,19992,419832,1/12/2019,12:02,2,Credit card,399.84,4761904762,19992,6.5
219-22-9386,2,Mandalay,1,Member,2,Male,4,Sports and travel,99.96,9,44982,944622,3/9/2019,17:26,2,Credit card,899.64,4761904762,44982,4.2
336-78-2147,3,Naypyitaw,1,Member,2,Male,3,Home and lifestyle,63.91,8,25564,536844,3/13/2019,19:52,2,Credit card,511.28,4761904762,25564,4.6
268-27-6179,2,Mandalay,1,Member,1,Female,6,Fashion accessories,56.47,8,22588,474348,3/9/2019,14:57,3,Ewallet,451.76,4761904762,22588,7.3
668-90-8900,1,Yangon,2,Normal,1,Female,3,Home and lifestyle,93.69,7,327915,6886215,3/10/2019,18:44,2,Credit card,655.83,4761904762,327915,4.5
870-54-3162,1,Yangon,2,Normal,1,Female,4,Sports and travel,32.25,5,8.0625,1693125,1/27/2019,13:26,1,Cash,161.25,4761904762,8.0625,9
189-08-9157,3,Naypyitaw,2,Normal,1,Female,6,Fashion accessories,31.73,9,142785,2998485,1/8/2019,16:17,2,Credit card,285.57,4761904762,142785,5.9
663-86-9076,3,Naypyitaw,1,Member,1,Female,5,Food and beverages,68.54,8,27416,575736,1/8/2019,15:57,3,Ewallet,548.32,4761904762,27416,8.5
549-84-7482,2,Mandalay,2,Normal,1,Female,4,Sports and travel,90.28,9,40626,853146,2/8/2019,11:15,3,Ewallet,812.52,4761904762,40626,7.2
191-10-6171,2,Mandalay,2,Normal,1,Female,6,Fashion accessories,39.62,7,13867,291207,1/25/2019,13:18,1,Cash,277.34,4761904762,13867,7.5
802-70-5316,1,Yangon,1,Member,1,Female,4,Sports and travel,92.13,6,27639,580419,3/6/2019,20:34,1,Cash,552.78,4761904762,27639,8.3
695-51-0018,2,Mandalay,2,Normal,1,Female,4,Sports and travel,34.84,4,6968,146328,2/10/2019,18:36,1,Cash,139.36,4761904762,6968,7.4
590-83-4591,2,Mandalay,1,Member,2,Male,2,Electronic accessories,87.45,6,26235,550935,2/17/2019,14:40,2,Credit card,524.7,4761904762,26235,8.8
483-71-1164,3,Naypyitaw,2,Normal,1,Female,1,Health and beauty,81.3,6,24.39,512.19,3/8/2019,16:43,3,Ewallet,487.8,4761904762,24.39,5.3
597-78-7908,3,Naypyitaw,2,Normal,2,Male,6,Fashion accessories,90.22,3,13533,284193,2/18/2019,19:39,1,Cash,270.66,4761904762,13533,6.2
700-81-1757,1,Yangon,2,Normal,1,Female,2,Electronic accessories,26.31,5,6.5775,1381275,1/18/2019,20:59,2,Credit card,131.55,4761904762,6.5775,8.8
354-39-5160,1,Yangon,1,Member,1,Female,3,Home and lifestyle,34.42,6,10326,216846,2/18/2019,15:39,1,Cash,206.52,4761904762,10326,9.8
241-72-9525,2,Mandalay,2,Normal,2,Male,4,Sports and travel,51.91,10,25955,545055,2/16/2019,12:21,1,Cash,519.1,4761904762,25955,8.2
575-30-8091,1,Yangon,2,Normal,2,Male,4,Sports and travel,72.5,8,29,609,3/16/2019,19:25,3,Ewallet,580,4761904762,29,9.2
731-81-9469,3,Naypyitaw,1,Member,1,Female,4,Sports and travel,89.8,10,44.9,942.9,1/23/2019,13:00,2,Credit card,898,4761904762,44.9,5.4
280-17-4359,3,Naypyitaw,1,Member,2,Male,1,Health and beauty,90.5,10,45.25,950.25,1/25/2019,13:48,1,Cash,905,4761904762,45.25,8.1
338-65-2210,3,Naypyitaw,1,Member,1,Female,1,Health and beauty,68.6,10,34.3,720.3,2/5/2019,19:57,1,Cash,686,4761904762,34.3,9.1
488-25-4221,3,Naypyitaw,1,Member,1,Female,5,Food and beverages,30.41,1,1.5205,319305,2/22/2019,10:36,2,Credit card,30.41,4761904762,1.5205,8.4
239-10-7476,1,Yangon,2,Normal,1,Female,3,Home and lifestyle,77.95,6,23385,491085,1/21/2019,16:37,3,Ewallet,467.7,4761904762,23385,8
458-41-1477,3,Naypyitaw,2,Normal,1,Female,1,Health and beauty,46.26,6,13878,291438,3/8/2019,17:11,2,Credit card,277.56,4761904762,13878,9.5
685-64-1609,1,Yangon,1,Member,1,Female,6,Fashion accessories,30.14,10,15.07,316.47,2/10/2019,12:28,3,Ewallet,301.4,4761904762,15.07,9.2
568-90-5112,3,Naypyitaw,2,Normal,2,Male,1,Health and beauty,66.14,4,13228,277788,3/19/2019,12:46,2,Credit card,264.56,4761904762,13228,5.6
262-47-2794,2,Mandalay,1,Member,2,Male,3,Home and lifestyle,71.86,8,28744,603624,3/6/2019,15:07,2,Credit card,574.88,4761904762,28744,6.2
238-49-0436,1,Yangon,2,Normal,2,Male,1,Health and beauty,32.46,8,12984,272664,3/27/2019,13:48,2,Credit card,259.68,4761904762,12984,4.9
608-96-3517,2,Mandalay,1,Member,1,Female,6,Fashion accessories,91.54,4,18308,384468,3/23/2019,19:20,2,Credit card,366.16,4761904762,18308,4.8
584-86-7256,3,Naypyitaw,1,Member,2,Male,4,Sports and travel,34.56,7,12096,254016,3/11/2019,16:07,2,Credit card,241.92,4761904762,12096,7.3
746-94-0204,1,Yangon,2,Normal,2,Male,6,Fashion accessories,83.24,9,37458,786618,1/29/2019,11:56,2,Credit card,749.16,4761904762,37458,7.4
214-17-6927,3,Naypyitaw,2,Normal,1,Female,5,Food and beverages,16.48,6,4944,103824,2/7/2019,18:23,3,Ewallet,98.88,4761904762,4944,9.9
400-89-4171,3,Naypyitaw,2,Normal,1,Female,4,Sports and travel,80.97,8,32388,680148,1/28/2019,13:05,1,Cash,647.76,4761904762,32388,9.3
782-95-9291,1,Yangon,1,Member,2,Male,5,Food and beverages,92.29,5,230725,4845225,2/20/2019,15:55,2,Credit card,461.45,4761904762,230725,9
279-74-2924,2,Mandalay,1,Member,2,Male,2,Electronic accessories,72.17,1,3.6085,757785,1/4/2019,19:40,1,Cash,72.17,4761904762,3.6085,6.1
307-85-2293,2,Mandalay,2,Normal,2,Male,3,Home and lifestyle,50.28,5,12.57,263.97,3/7/2019,13:58,3,Ewallet,251.4,4761904762,12.57,9.7
743-04-1105,2,Mandalay,1,Member,2,Male,1,Health and beauty,97.22,9,43749,918729,3/30/2019,14:43,3,Ewallet,874.98,4761904762,43749,6
423-57-2993,2,Mandalay,2,Normal,2,Male,4,Sports and travel,93.39,6,28017,588357,3/27/2019,19:18,3,Ewallet,560.34,4761904762,28017,10
894-41-5205,3,Naypyitaw,2,Normal,1,Female,5,Food and beverages,43.18,8,17272,362712,1/19/2019,19:39,2,Credit card,345.44,4761904762,17272,8.3
275-28-0149,1,Yangon,2,Normal,2,Male,4,Sports and travel,63.69,1,3.1845,668745,2/25/2019,16:21,1,Cash,63.69,4761904762,3.1845,6
101-17-6199,1,Yangon,2,Normal,2,Male,5,Food and beverages,45.79,7,160265,3365565,3/13/2019,19:44,2,Credit card,320.53,4761904762,160265,7
423-80-0988,3,Naypyitaw,2,Normal,2,Male,4,Sports and travel,76.4,2,7.64,160.44,1/30/2019,19:42,3,Ewallet,152.8,4761904762,7.64,6.5
548-46-9322,2,Mandalay,2,Normal,2,Male,5,Food and beverages,39.9,10,19.95,418.95,2/20/2019,15:24,2,Credit card,399,4761904762,19.95,5.9
505-02-0892,2,Mandalay,1,Member,2,Male,1,Health and beauty,42.57,8,17028,357588,2/25/2019,14:12,3,Ewallet,340.56,4761904762,17028,5.6
234-65-2137,3,Naypyitaw,2,Normal,2,Male,3,Home and lifestyle,95.58,10,47.79,1003.59,1/16/2019,13:32,1,Cash,955.8,4761904762,47.79,4.8
